age,cin,date,description,genre,motif,nom,prenom,profession,region,sujet_demande,type_demande,type_assurance,z_score_age
28,1010113,2023-10-18,Je planifie un voyage à l'étranger et je souhaite en savoir plus sur les options d'assurance voyage disponibles.,M,Information sur l'assurance santé,Gharbi,Nabil,Artiste,Bizerte,Information sur les assurances voyage,information,Non spécifié,-1.3745252691923635
33,1111225,2023-11-30,Je souhaite étendre la garantie de ma voiture pour inclure une couverture contre les pannes mécaniques.,F,Demande Avenant sur contrat,Ben Amor,Leila,Journaliste,Tunis,Demande d'extension de garantie automobile,service,Non spécifié,-0.5444979327235451
45,2222336,2023-10-05,Une fuite d'eau s'est produite dans ma maison et a causé des dommages importants. Je souhaite déposer une réclamation.,M,Demande prise en charge,Aouadi,Riadh,Consultant,Sfax,Réclamation pour dégâts des eaux,reclamation,Non spécifié,1.447567674801619
40,3333447,2023-09-20,Je souhaite obtenir des informations sur les franchises applicables à mon assurance automobile.,F,Information sur l'assurance santé,Ghazi,Nour,Entrepreneure,Gabès,Demande de renseignements sur les franchises,information,Non spécifié,0.6175403383328008
35,4444558,2023-12-15,Ma maison a été endommagée lors d'un tremblement de terre. Je souhaite déposer une réclamation pour obtenir une indemnisation.,M,Demande rapport expertise,Hajji,Wassim,Photographe,Nabeul,Réclamation pour sinistre habitation,reclamation,Non spécifié,-0.2124869981360177
28,5555669,2023-11-10,J'ai eu des frais médicaux importants et je souhaite obtenir un remboursement de mon assurance santé.,F,Remboursement matériel du corporel,Slimani,Hana,Pharmacienne,Tunis,Demande de remboursement pour frais médicaux,reclamation,Automobile,-1.3745252691923635
31,6666770,2023-09-10,Je souhaite souscrire une assurance maladie complémentaire pour ma famille.,F,Demande de couverture d'assurance maladie,Ben Miled,Sofia,Architecte,Sousse,Demande de couverture d'assurance maladie,service,Non spécifié,-0.8765088673110725
36,7777881,2023-11-05,Je voudrais en savoir plus sur les différentes options de polices d'assurance automobile disponibles.,M,Information sur les assurances auto,Dhouib,Ali,Ingénieur,Ariana,Information sur les polices d'assurance auto,information,Non spécifié,-0.04648153084225402
39,8888992,2023-12-08,Ma maison a été endommagée lors d'une tempête. Je souhaite déposer une réclamation pour obtenir une indemnisation.,F,Réclamation pour dommages causés par tempête,El Kefi,Ines,Enseignante,Sfax,Réclamation pour dommages causés par tempête,reclamation,Non spécifié,0.451534871039037
33,9999113,2023-08-28,Je souhaite résilier mon contrat d'assurance habitation.,M,Demande de résiliation de contrat,Feriani,Walid,Chef cuisinier,Nabeul,Demande de résiliation de contrat,service,Non spécifié,-0.5444979327235451
37,1010114,2023-09-05,Je souhaite connaître les différentes garanties incluses dans les polices d'assurance habitation.,F,Information sur les garanties d'assurance habitation,Gadacha,Imen,Médecin,Monastir,Information sur les garanties d'assurance habitation,information,Non spécifié,0.11952393645150966
